cid,text,time,author,channel,votes,time_parsed
UgxtL4GnBVab0jV0q6h4AaABAg.A2EjWgYNVdYA2Lj7PbafDL,Thanks for the comment 🙂,10 months ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1715981854.219967
UgzKHF7ikcFvZvf5RJ14AaABAg.A0_XB2epAPXA0b7oqbxzMl,Glad it was useful!,1 year ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1710711454.406836
UgzvzPWlTBQLAv81GhF4AaABAg.9uy1diF9ZV19v8LM1QaWiO,Thanks. No better way to decide than to give it a try for yourself. Good luck!,1 year ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1710711454.591065
UgwIPBxFfp6sA18K54t4AaABAg.9ucaLwMcMtW9ucwpWERcoL,"It's not a real picture of a DL380. It's a vector image representing a server and it happens to look like a DL380, with friendly licensing. If you recognised it as a server, it served its purpose. Looking like a different hardware model wouldn't change its use in the video and would always become outdated in time. What matters more for the purpose of this video is having a licence that allows me to actually use it in the video.",1 year ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,2,1710711454.774011
UgyMWcCRznWWmqBOx_t4AaABAg.9sjs__-CJ_I9sk2vrA3WPo,Thanks!,1 year ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1710711454.962752
UgxYZof-ok8hoCo9fn54AaABAg.9sMjYypRL5E9sMkETHuB9I,You're welcome. Glad it helped.,1 year ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1710711455.155464
Ugxus_s2SfFeu8az_o94AaABAg.9q7o5xk7O3V9q7qj_oosTe,Glad it helped,1 year ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1710711455.347245
UgyaYgL-pln_hxHR_pN4AaABAg,Thank you for the explanation. Very easy to understand!,2 years ago,@nekochan5465,UCB3VRjBb1oNonPjKYms2G7g,0,1679089055.657562
UgzLLxFoFFt6nx9Zp8t4AaABAg,"iSCSI is slower, because the TCP/IP stack slows it down. And the data must pass via CPU, e.g. CPU is tasked to do I/O where it was offloaded by the DMA controllers of normal SCSI. The SAN works faster and greener when it is built with RDMA (remote direct memory access) devices like Infiniband and the underlying protocol is SRP - SCSI RDMA Protocol",2 years ago (edited),@angelg3986,UC2lwTGh1HCiOECs9fMreXOQ,1,1679089055.658192
UgzxGg5lpSiAdR9bsHx4AaABAg,Thanks for the explanation🙏,2 years ago,@aryanbayas,UCLc-yDUTxwNv61DNIloszFw,0,1679089055.658974
Ugxj8OKwzYKTY70_ead4AaABAg,are u animated?,2 years ago,@arvindkushwaha9834,UCPOSlgcK0OFLgqh9We7e_1w,0,1679089055.659589
UgzzIPPrAiX9AT50SDx4AaABAg,With NetApp it’s easy to buy extra DS(Disk Storage) when you already have a FAS.,2 years ago,@ernestoditerribile,UCtEMvNRyXENMqwqRT-a1clQ,0,1679089055.660128
Ugwmdn-dVHsLrQWdCbF4AaABAg,So much good information in one video 👍👍👍,2 years ago,@lebob91,UCuafKoX_n-X-d5lBSEfaJpg,0,1679089055.66066
UgzjdK282Jc7JwAtshx4AaABAg,Harvester HCI - is more better!,2 years ago,@QA_Universal,UCeCIzoljRgJDdRJNcRa9h4A,0,1679089055.661198
UgxPSzh_LPJLF-F8a0p4AaABAg,"Jolly well struck and delectably eupeptic 👍 I am appreciating how well this video condenses so much good information.
One now may witness HA/failover with HCI for power (mains & battery), network (NICs, switches, cables), storage (spinning and nand), and compute (cpu+mem) . . . even for dartingly labile embassies and femtofauna.
Kindest regards, neighbours and friends.",2 years ago,@chromerims,UCa2EOi82CBeM4oO2U3kcxhw,0,1679089055.661708
UgxGJH904Osn1c9u_z94AaABAg,"why wouldn't you go with cloud, all those problems go away and you can focus on the product you're building instead",2 years ago,@betterwithrum,UCT2UAvMoEXtIxv0ao9fTA_Q,0,1679089055.662215
Ugw0GdJK9_ZUc2Vr1ex4AaABAg,"If we are setting up our own Private Cloud using a software like Cloudstack, which architecture would be best? The Traditional 3 Tier Architecture? Or Hyperconverged?

We need to be able to provision VMs and ensure automatic failover to other nodes should any hardware fail at any time. Theres also the cost element but the architecture is more important at this point.",2 years ago,@TypesOfMe,UCN83dVhe1cpT3EkHyKDGV5Q,0,1679089055.662727
UgyrgQ93BO8g6kaZsR14AaABAg,"Nice Video, very clear, thank for shared",2 years ago,@KhaiNguyen-gf2zj,UC1O7lljyGmf2genEefd4Yug,0,1679089055.663322
UgwJMmHqfbaXNX15yoR4AaABAg,nicely explained ..,2 years ago,@AllwarappanSundararaj,UCmSCzWyyULHRUBZsIZ10dPQ,0,1679089055.664349
Ugxl0opEKzoTCzpnnxV4AaABAg,just move to the cloud!,2 years ago,@wysefavor,UCAT9iCUk0JG-W5n5Xt3tCGA,0,1679089055.665334
Ugw1We1KXZeIsYkF3MR4AaABAg,"I have listened to various videos on this topic and I still have a hard time understanding what these are. I actually work on Cisco Hyper converged as a smart hands. Often the customer complains about how much he hates these devices and how expensive they are. Now I don't get sent to folks whose systems are running, only the customers who are having troubles so I don't have a true sample of how well these do or don't work. Ty for your video I will re-watch this again and maybe again.",2 years ago (edited),@212helpdesk,UC-WgwYmkgoINz5REJJRHWKg,0,1679089055.66622
Ugz1SmIFWgXlIVpK8TZ4AaABAg,"Nice explanation, but kind of fast for me.",2 years ago,@sanjeevkumarsharma6679,UCSYOIuFyXnhj0tohaqh1e-g,0,1679089055.666897
UgzrUwDKOoQqimlPa2x4AaABAg,"Great video, except for one thing. I can tell you as an admin for hyper-converged infrastructure that your negative was Ill-informed. Upgrading storage is surprisingly easy with technologies like CEPH. Networking is where the real headache comes in.. Literally at every level. It was not expensive.. It's just a headache",2 years ago,@ImmutableTech,UCZ2QAjbgVY7rdhA5tj21QOA,10,1679089055.667481
UgzoWNXqMdz_uS5saBt4AaABAg,Awesome explanation!,2 years ago,@sandyj342,UC6mxwL267huUAV3LCCtvIMw,0,1679089055.668021
UgxQnsdYsM_FwlHkM6R4AaABAg,"Like the video but I would beg to differ about some of the points regarding linear scaleability. Not all hyper-converged vendors are the same. Some allow non-linear expansion. ie, very compute heavy for VDI say and some storage heavy or even storage only nodes (enough compute for the virtual controller) used for files / object based workloads. Also Hyper-converged solutions are normally based on webscale technology which are designed to fail and have multiple points of resilience and self healing. (full disclosure I work for one such company. )",2 years ago,@mattnics,UCsQxgoX8dEgFchjPjoggEcw,0,1679089055.668553
Ugx1ZsYV8t3gQIjT4Ht4AaABAg,Very well explained. Thank you,2 years ago,@lhxperimental,UCcKOMOo0_M2utXVRUfv2qGw,0,1679089055.669069
UgwgN5YsE5319AzIlMB4AaABAg,"Hello, sir, your video is so interesting, I don't know if someone had asked this or no, but if an organization has a data center with HCI configuration and want to have a DRC with 3 tiers arch configuration, is that possible? what's plus and minus from doing it or using same infrastructure as the current data center? thank you before.",3 years ago,@isssa2806,UCUJjkZyUHk6THGNr25UOutA,0,1647553055.669593
UgyaYgL-pln_hxHR_pN4AaABAg.9nBbAVTJfv39nCPbZXyN29,You're welcome,2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089055.872131
UgzLLxFoFFt6nx9Zp8t4AaABAg.9mfNW7gbjQ_AAku6L7PaH5,Also note that FC is vastly different than Ethernet. FC uses tokens to avoid congestion and thus has guaranteed delivery. Ethernet can become a big problem if you overload the buffers on a switch.,4 months ago,@jaudjfmfglo,UCh61zPok2AfixZs2QWCFlTw,0,1731883056.065565
UgzxGg5lpSiAdR9bsHx4AaABAg.9l6q-R5d7s-9l6tPLKQoPM,You're welcome 🙂,2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089056.247132
Ugxj8OKwzYKTY70_ead4AaABAg.9kYgsej4yCR9kZl8iUkm16,"In the sense that I can move and stuff... yes?
The video quality is due to being recorded on a phone. If you're actually interested, I have a behind-the-scenes showing the upgrades I've made since this video and you can compare the before and after... or just see proof that I'm real: https://youtu.be/Q0Vu005ltKc",2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089056.430909
Ugwmdn-dVHsLrQWdCbF4AaABAg.9j2W5iOxqHx9j3HCMHb_L4,Thanks!,2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089056.609545
UgxGJH904Osn1c9u_z94AaABAg.9i69RoOcD6d9i6CuPnWjzu,"The typical reasons are cost and compliance. Cloud is great for flexibility and if you can refactor applications for cloud-native technology the cost can be reasonable, but most organisations aren't writing their own apps - they're using off-the-shelf ones and if you simply lift & shift them to the cloud it can get very expensive very quickly. Most I come across are running some kind of hybrid mixture at the moment.",2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,1,1679089056.812889
UgxGJH904Osn1c9u_z94AaABAg.9i69RoOcD6d9i6GBLDzLKF," @ProTechShow  ok, thanks!",2 years ago,@betterwithrum,UCT2UAvMoEXtIxv0ao9fTA_Q,0,1679089056.814218
Ugw0GdJK9_ZUc2Vr1ex4AaABAg.9hyUsTxfquy9i0lAnBgjJr,"There isn't really a single answer to that. It depends on how flexible you need each part to be, how you anticipate each component will need to scale, your mix of skills, financing, etc.",2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089057.0128
UgyrgQ93BO8g6kaZsR14AaABAg.9h4WqAcIj7C9h53oMlh147,You're welcome 🙂,2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089057.191169
UgwJMmHqfbaXNX15yoR4AaABAg.9f4KZk2A8HP9f4UfKjCuzu,Thanks 🙂,2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089057.367292
Ugxl0opEKzoTCzpnnxV4AaABAg.9e-0CYMb1j49e-TNL-Ms2n,"It's a good choice for some, and not for others. There's never a one-size-fits-all answer.",2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089057.553881
Ugw1We1KXZeIsYkF3MR4AaABAg.9dUAV8PIecxA0DBYnVI4sB,Send them to HPE lol,1 year ago,@blueballsbkueballs,UCh7qIJS0CJp7FtnsUtgaaxA,0,1710711457.738552
UgzrUwDKOoQqimlPa2x4AaABAg.9bTU1xv1Y839f02NZlcfaH,"it's true, but Ceph is designed to handle whole disks on it’s own, and so it handles data object redundancy and multiple parallel writes to disks (OSDs). Hardware RAID controllers are not designed for the Ceph workload, them don’t improve performance or availability and sometimes even reduce performance, at most Host Base Adapter can be used. That's said, It's recommended that you use fast storage SSDs instead of HDDs, and this will greatly increase the overall expense.
:-)",2 years ago,@salvatorecampolo2032,UCT-V6AiqFw_lRiTacxKj1DA,0,1679089057.94529
UgzrUwDKOoQqimlPa2x4AaABAg.9bTU1xv1Y839f45F2hFPTQ," @salvatorecampolo2032  enterprise ssds are an added expense, yes. However, the right tool for the right job. Broadly speaking CEPH for workloads (docker, VMs) AND virtualized zfs NAS solution like truenas scale for long term large storage. Meaning spinning rust still has a place here.

For the most part doing that means you can have your cake and eat it too. Providing you use the 3 2 1 rule of backing up your data.

Also, I wouldn't use hardware raid anymore. It's dead. Software raid or G-RAID",2 years ago (edited),@ImmutableTech,UCZ2QAjbgVY7rdhA5tj21QOA,1,1679089057.948861
UgzrUwDKOoQqimlPa2x4AaABAg.9bTU1xv1Y839f4Pw9zCVrY,"​ @ImmutableTech  
yes, in a ""hyperconverged world"" hardware raid might as well be wounded 'cause in a HCI it's no longer essential, but ... the ICT universe is not just made up of hyperconverged structures, therefore the Market will determine if and when a technology lives or dies. 
As far as I'm concerned, some announcements like the one that hardware raid is dead, they are just personal interpretations or they are mere propaganda, like those that have been wanting hard drives to die for last decades.
After all, if one were to give credit to the various proclamations, following the indications of the maximus expert of Linux, Linus Torvalds, who absolutely advised against the use of ZFS, then those who think like you on ZFS, they would already be out of the game.
:-)",2 years ago,@salvatorecampolo2032,UCT-V6AiqFw_lRiTacxKj1DA,0,1679089057.952411
UgzrUwDKOoQqimlPa2x4AaABAg.9bTU1xv1Y839f53YW3N1XN," @salvatorecampolo2032  to me, hw raid hasn't seen nearly the innovation the rest of the space has. Even if I HAD to roll out a new ""ICT."" system, I still would hesitate to use hardware raid. 

But like you said, things change. Software Raid used to be slow and buggy. These days I think it's better than hardware rajd. I guess we will see.

:)",2 years ago,@ImmutableTech,UCZ2QAjbgVY7rdhA5tj21QOA,1,1679089057.954629
UgzoWNXqMdz_uS5saBt4AaABAg.9aatDISHsY19abO2b1L39Y,Thanks!,2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089058.138484
Ugx1ZsYV8t3gQIjT4Ht4AaABAg.9Zo2gDaDvNB9ZoVpn2L3UW,Thanks!,2 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1679089058.322492
UgwgN5YsE5319AzIlMB4AaABAg.9ZeZI6HjRXW9ZfR06QciTF,"Provided the DR solution is compatible with both, then yes; although you'd probably want to at least keep the hypervisor the same on both ends.
In terms of downsides... many vendors provide built-in replication options that require the same vendor to be used on both ends, so you may find that you need to use something else - particularly if the storage vendors don't match as many replication methods occur at the storage layer.",3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1647553058.552114
UgyZsSzQEV6tbTLhQAl4AaABAg,"quite interesting, thank you",3 years ago,@razadaza9651,UC3o4pBcokmxS5SBSdY9eygA,0,1647553058.866728
UgyeqXF0PJtRP0pJwXJ4AaABAg,Great video.  Hyper converge vendors are currently trying to shame traditional 3 tiers architecture as if it was obsolete and last century's tech.,3 years ago,@stephenremillard9462,UCkLK7D1KEk6CV31fluM5GCg,7,1647553058.867806
UgwxmMuArAEcz5tHKGZ4AaABAg,Well explained video,3 years ago,@mousephotato,UCL4l-MhjGOpDCgGptX72g2Q,0,1647553058.868758
Ugwmlvewwq-od5cLoqF4AaABAg,What exactly is meant by linear and nonlinear when it comes to infrastructure?,3 years ago,@jigatton4494,UCW3g4hpTSDxvB8GYzNIsYvQ,0,1647553058.869665
Ugw6Ts1CeipHs0hosXl4AaABAg,Learning from this video I understand now that HCI is not for me and my customers (I'm an IT admin). Thank you for taking the time to explain.,3 years ago (edited),@MR-vj8dn,UCfQNq0O6UDn1liAuxJsu6ag,0,1647553058.870557
UgzMD4o9ok0LkYZ34rh4AaABAg,1 year squad yo!,3 years ago,@unutilized,UCXf9op0TQ4e9Fz3kuOSTfgA,0,1647553058.871468
UgxSe0xW7AQF-eOQ7-p4AaABAg,"Thanks, this primer was exactly what I needed.",3 years ago,@BrotherDevious,UCvKqFWRkjq1TkgY4IdC_VUQ,0,1647553058.872366
Ugy_dN1jyD9NXWQx-rt4AaABAg,Very good video. Well described without making it too complex. I really hate when things go wrong and only help available is an expert...that scares me the most about HCI.,3 years ago,@balboa41,UCm4KkqB668FT7xpGLRdmlfA,3,1647553058.873577
UgwLBqN2yxZNq2xTbJR4AaABAg,"Great stuff! I  see these things on a daily basis at work, turns out its ""a thing""  and it's called Hyperconvergence?? Who would have thought :D LOL

My never ending battles with the storage guys that never want to acknowledge their NAS latency issues,  I keep having to explain to everyone my vm's ""live"" on their storage,  like, what more do u want me to do bruh?!?!? LoL",3 years ago,@Thewickedjon,UCrmr21xx312TUmHYLI9eeOg,0,1647553058.874767
Ugz6-Yd9BWfJ_gSaJh14AaABAg,"That was a super clear and well visualized explanation and by far the best I have ever seen - watched 17 other videos and read a bunch of blogs that only made hyper convergence sound more confusing. I would give 10 thumbs-ups, if I could.",3 years ago,@georgesmith9178,UCb7dOuZ5KzXmEUrEsbbHD0Q,40,1647553058.875654
UgwmQWRppIP6SbagWft4AaABAg,Well done video!,3 years ago,@utrutr6013,UCTzHO_7HWbExP6U62C67kKg,0,1647553058.876592
UgyQtVuSiyhAeuTS4ol4AaABAg,"Good view, liked the video. Hope to see more deeper analysis on the key technologies used in HCI.",3 years ago,@limelvin5422,UC8CL3ZvHzbvX-yQ0YOzleZA,0,1647553058.877479
UgwJmaYFT2eNqqg18YZ4AaABAg,I see this as a way for a cloud solutions to beef up the edge to improve things like DaaS.,3 years ago,@remoterevolutions4791,UCCvKZF1eL1My_jzQE-P1khg,0,1647553058.878894
UgwypO3tbkKu2yGE1qJ4AaABAg,"I need to setup a project of this tech, any Spanish speaking specialist available?",3 years ago,@ignaciosevil1944,UCfFh4WvcwsaeGokcFgAHwrQ,0,1647553058.879974
UgyuKtPh6CKLjmmQuGp4AaABAg,Awesome explaination...this video really helps to evaluate our requiremnt. thank you.,3 years ago,@siddeshbs9616,UCyGssdTkjh1Z6pH-y5iH1Pg,0,1647553058.880945
UgwQOP0B-tFKfLeWast4AaABAg,"7:05
Same performance - HCI is usually faster due to local reads
Same resilience - HCI usually has faster rebuild time with less impact on performance as it is handled in a distributed manner",3 years ago,@Alexey007,UCgcctfZ9J0v-iVNVUNoQM2A,0,1647553058.88207
Ugz7lpSPPDEqhCoyddV4AaABAg,"Very well explained.
Personally I dislike hyperconverged because of the exact reasons you said: You can't just easily upscale a singular resource type and if things go wrong, they can go apocalyptically wrong and suddenly you need to be an expert on every part of the chain.",3 years ago,@Steamrick,UCxHgKW4hJox7WIjv3LoGLeA,12,1647553058.883197
UgwF1HQEQeCncglAOAp4AaABAg,Very helpful overview,3 years ago,@sanaznamdar,UC_0BGINDhOHP7tLpWs7g-Sg,1,1647553058.884121
UgzqPQcufoyDCPzKXuF4AaABAg,Makes complete horse sense. Thank you,3 years ago,@Michael-tg7ev,UCpuHc8c7k0XWg6kBv8wEd7Q,0,1647553058.885014
UgzQtNfEglesBwm8_7V4AaABAg,Just started a new job in Philly selling on behalf of Cisco and this was super helpful to me. Still hard to understand but I am glad you posted this.  Thank you so much...,4 years ago,@BobbyRotten,UCq_EWtRRwFiPHcHYGQosP1g,0,1616017058.885905
UgyZsSzQEV6tbTLhQAl4AaABAg.9Yyi4pAMfqs9Z-VUS3KUqu,You're welcome 🙂,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1647553059.100717
UgyeqXF0PJtRP0pJwXJ4AaABAg.9YwO2BkRmAP9Z-T5Ufa7Gm,Thanks! Newer doesn't mean better... They really need to focus on the benefits of their own solution rather than trying to badmouth competition. It's an instant turn-off for me if the salesperson resorts to that.,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,2,1647553059.29841
UgwxmMuArAEcz5tHKGZ4AaABAg.9XsVHpArYa19XsVtIXUrj_,Cheers!,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1647553059.495584
Ugwmlvewwq-od5cLoqF4AaABAg.9XQbd_9T5oM9XR5YhJINBS,"In this context it's referring to the way the infrastructure's resources scale in relation to the number of people using it.
If you take the example of virtual desktop infrastructure - each virtual desktop would have a set amount CPU, RAM, and storage allocated. If you double the number of people you need to double the number of desktops so you double the amount of CPU, RAM, and storage required from the infrastructure. We'd call that linear, and it's easy to scale with HCI - double the number of people, double the requirements for each resource, so double the number of HCI nodes.
Now consider a file server that holds documents. If you were to double the number of people it would probably have little impact initially as the storage tends to grow over time, although it would increase the rate of growth. Chances are the effect on the server's CPU and RAM would be negligible unless it was already struggling. In this case the relationship between the number of people and the resources being consumed is not linear and if you just doubled the number of HCI nodes it wouldn’t match your storage growth and you'd end up with a load of excess CPU and RAM.",3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,3,1647553059.689459
Ugw6Ts1CeipHs0hosXl4AaABAg.9XOz8HujTF09XR8DXS7WlF,Glad I could help. There's no one-size-fits-all answer in IT so just because it works well for one person doesn't mean it will for another.,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,1,1647553059.88008
Ugw6Ts1CeipHs0hosXl4AaABAg.9XOz8HujTF09XRbzM6ihXg," @ProTechShow  Agree. Also, just because its the latest tech doesn’t mean it’s “the best”. As I’m mastering the “old way” of 3Tier, I’ll just skip this development cycle. Thanks for sharing.",3 years ago,@MR-vj8dn,UCfQNq0O6UDn1liAuxJsu6ag,0,1647553059.881918
UgzMD4o9ok0LkYZ34rh4AaABAg.9VUAlm3KjgZ9VUUxEm-wEY,🙌,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1647553060.076949
UgxSe0xW7AQF-eOQ7-p4AaABAg.9V5DmKETanE9V6_vod-SrQ,Glad it helped! 🙂,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1647553060.270159
Ugy_dN1jyD9NXWQx-rt4AaABAg.9V4C8XyPivT9V6_tP5bi68,"Thanks! Although a chunk of the marketing focuses on it being easier to use for administrators who aren't experts in the full virtualisation/storage/networking stack, I would definitely recommend that anyone buying it for those reasons should probably have a support contract in place for when it goes wrong and they suddenly need an expert in everything to fix it.",3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,1,1647553060.470472
UgwLBqN2yxZNq2xTbJR4AaABAg.9UoQgZQVXnb9Uov3BKlWFg,"Can't build a product without a good buzzword, can you? 😁",3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1647553060.668474
Ugz6-Yd9BWfJ_gSaJh14AaABAg.9Un4tJgQxgW9UouxuDFbI-,Thanks! Maybe you'll find 9 more of my videos you like and you can thumbs-up them instead. 😉,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,2,1647553060.887638
Ugz6-Yd9BWfJ_gSaJh14AaABAg.9Un4tJgQxgW9dJeU4ezSNj,People who are trying to sell you something want to make things seem more complicated and sophisticated than they really are. People who want you to understand try to make things seem as simple as possible.,2 years ago,@ryanno1134,UCCn1eCreYsOdCHt-HTsvsMg,1,1679089060.890568
UgwmQWRppIP6SbagWft4AaABAg.9U012arZlGW9U0X-W4J_r_,Thanks! Glad you appreciated it.,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,1,1647553061.077097
UgyQtVuSiyhAeuTS4ol4AaABAg.9SLdbnMEBoD9SMGtTpAV5Z,Thanks! I'll put that down on the future ideas list.,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1647553061.262652
UgyuKtPh6CKLjmmQuGp4AaABAg.9PXCzsX5b6I9PYrLJHNSbM,Thanks! Glad it was useful 🙂,3 years ago,@ProTechShow,UC6n-Dwza0jWP01t29k3sQJA,0,1647553061.444101
